result_id,council_slug,election_year,election_date,contest_type,ward_name,group_label,ballot_line_type,candidate_name,party_or_group,first_preference_votes,total_formal_votes,first_preference_pct,elected_flag,source_id,source_url
willoughby_2024_mayoral_greco_anna,willoughby,2024,2024-09-14,mayoral,,,"candidate","GRECO Anna",IND,8779,37402,23.47,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/mayoral/mayoral-fp-by-candidate
willoughby_2024_mayoral_hsueh_jade_yu_chun,willoughby,2024,2024-09-14,mayoral,,,"candidate","HSUEH Jade Yu-Chun",IND,2207,37402,5.90,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/mayoral/mayoral-fp-by-candidate
willoughby_2024_mayoral_luo_hao_henry,willoughby,2024,2024-09-14,mayoral,,,"candidate","LUO Hao (Henry)",IND,3653,37402,9.77,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/mayoral/mayoral-fp-by-candidate
willoughby_2024_mayoral_mccullagh_roy,willoughby,2024,2024-09-14,mayoral,,,"candidate","McCULLAGH Roy",IND,4449,37402,11.90,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/mayoral/mayoral-fp-by-candidate
willoughby_2024_mayoral_taylor_tanya,willoughby,2024,2024-09-14,mayoral,,,"candidate","TAYLOR Tanya",IND,18314,37402,48.97,true,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/mayoral/mayoral-fp-by-candidate
willoughby_2024_middle_harbour_a_atl,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,A,above_the_line,,IND,2392,9181,26.05,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_samuel_robert,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,A,candidate,"SAMUEL Robert",IND,225,9181,2.45,true,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_spencer_stephanie,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,A,candidate,"SPENCER Stephanie",IND,22,9181,0.24,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_huang_zhijing_olivia,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,A,candidate,"HUANG Zhijing (Olivia)",IND,51,9181,0.56,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_brown_diana,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,A,candidate,"BROWN Diana",IND,20,9181,0.22,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_b_atl,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,B,above_the_line,,IND,2652,9181,28.89,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_rozos_angelo,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,B,candidate,"ROZOS Angelo",IND,318,9181,3.46,true,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_yiu_william,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,B,candidate,"YIU William",IND,38,9181,0.41,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_rozos_megan,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,B,candidate,"ROZOS Megan",IND,9,9181,0.10,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_c_atl,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,C,above_the_line,,IND,1346,9181,14.66,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_mouradian_sarkis,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,C,candidate,"MOURADIAN Sarkis",IND,195,9181,2.12,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_gupta_mayank,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,C,candidate,"GUPTA Mayank",IND,30,9181,0.33,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_taylor_ava,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,C,candidate,"TAYLOR Ava",IND,32,9181,0.35,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_d_atl,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,D,above_the_line,,IND,1697,9181,18.48,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_dodds_kristina,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,D,candidate,"DODDS Kristina",IND,119,9181,1.30,true,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_coulam_eva,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,D,candidate,"COULAM Eva",IND,22,9181,0.24,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_middle_harbour_pettit_robyn,willoughby,2024,2024-09-14,councillor,Middle Harbour Ward,D,candidate,"PETTIT Robyn",IND,13,9181,0.14,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/middle-harbour-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_naremburn_a_atl,willoughby,2024,2024-09-14,councillor,Naremburn Ward,A,above_the_line,,IND,2075,8820,23.53,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/naremburn-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_naremburn_greco_anna,willoughby,2024,2024-09-14,councillor,Naremburn Ward,A,candidate,"GRECO Anna",IND,258,8820,2.93,true,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/naremburn-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_naremburn_irvin_mary_ann,willoughby,2024,2024-09-14,councillor,Naremburn Ward,A,candidate,"IRVIN Mary Ann",IND,9,8820,0.10,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/naremburn-ward/download/firstpreferencebyvenuevt.csv
willoughby_2024_naremburn_enners_susan,willoughby,2024,2024-09-14,councillor,Naremburn Ward,A,candidate,"ENNERS Susan",IND,6,8820,0.07,false,nswec_willoughby_2024_results,https://pastvtr.elections.nsw.gov.au/LG2401/willoughby/naremburn-ward/download/firstpreferencebyvenuevt.csv
