vote_outcome_id,council_slug,meeting_date,meeting_type,civicclerk_event_id,agenda_object_item_id,agenda_item_title,action_type,mover,seconder,vote_result,named_vote_available,votes_for_names,votes_against_names,for_count,against_count,source_id,source_url,extracted_on
wil_2025_09_15_3443_1,willoughby,2025-09-15,Ordinary Council Meeting,159,3443,"2. Minutes - Audit, Risk and Improvement Committee - 7 May 2025",Motion,Tanya Taylor,Anna Greco,Carried,true,Tanya Taylor; Craig Campbell; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,,12,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3443,2026-05-16
wil_2025_09_15_3740_2,willoughby,2025-09-15,Ordinary Council Meeting,159,3740,1. Mayoral Minute 17/2025 - Amendment to the commencement time of Public and Open Forum for November 2025,Motion,Tanya Taylor,None,Carried,true,Tanya Taylor; Craig Campbell; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,,12,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3740,2026-05-16
wil_2025_09_15_3634_3,willoughby,2025-09-15,Ordinary Council Meeting,159,3634,1. Quarterly Budget Review 4 - Carryover of Unspent Project Funds from 2024/25 to 2025/26,Resolution En Bloc,Tanya Taylor,Michelle Chuang,Carried,false,,,,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3634,2026-05-16
wil_2025_09_15_3640_4,willoughby,2025-09-15,Ordinary Council Meeting,159,3640,2. Referral of Draft Financial Reports for the Year Ended 30 June 2025 to External Audit,Resolution En Bloc,Tanya Taylor,Michelle Chuang,Carried,false,,,,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3640,2026-05-16
wil_2025_09_15_3648_5,willoughby,2025-09-15,Ordinary Council Meeting,159,3648,3. Investment Report for the month of August 2025,Resolution En Bloc,Tanya Taylor,Michelle Chuang,Carried,false,,,,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3648,2026-05-16
wil_2025_09_15_3677_6,willoughby,2025-09-15,Ordinary Council Meeting,159,3677,4. Legal Matters Report - August 2025 (DEFERRED FROM 25 AUGUST 2025 COUNCIL MEETING),Motion,Tanya Taylor,Georgie Roussac,Carried,true,Tanya Taylor; Craig Campbell; Kristina Dodds; Roy McCullagh; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,,10,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3677,2026-05-16
wil_2025_09_15_2676_7,willoughby,2025-09-15,Ordinary Council Meeting,159,2676,5. Risk Management Policy Review,Motion,Robert Samuel,Georgie Roussac,Carried,true,Tanya Taylor; Craig Campbell; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,,12,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=2676,2026-05-16
wil_2025_09_15_3629_8,willoughby,2025-09-15,Ordinary Council Meeting,159,3629,6. Quarterly Property Report - September 2025,Resolution En Bloc,Tanya Taylor,Michelle Chuang,Carried,false,,,,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3629,2026-05-16
wil_2025_09_15_3688_9,willoughby,2025-09-15,Ordinary Council Meeting,159,3688,7. Local Government NSW Annual Conference 2025 - Motions for Submission,Motion,John Moratelli,Georgie Roussac,Carried,true,Tanya Taylor; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,Craig Campbell,11,1,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3688,2026-05-16
wil_2025_09_15_3642_10,willoughby,2025-09-15,Ordinary Council Meeting,159,3642,"8. Update on Planning Proposal and draft Planning Agreement at 641 - 653, and 655A Pacific Highway, Chatswood",Motion,Angelo Rozos,Anna Greco,Carried,true,Craig Campbell; Michelle Chuang; Kristina Dodds; Anna Greco; Roy McCullagh; John Moratelli; Andrew Nelson; Georgie Roussac; Sarah Royds; Angelo Rozos; Robert Samuel,,11,,willoughby_civicclerk_motion_votes,https://willoughby.civicclerk.com.au/web/Dialogs/SubDialogs/PortalMotionVotes.aspx?id=3642,2026-05-16
